generation,no_filter_b0.5_mean,no_filter_b0.5_std,ema_b0.5_mean,ema_b0.5_std,standard_filter_b0.5_mean,standard_filter_b0.5_std,hard_threshold_b0.5_mean,hard_threshold_b0.5_std,k_center_b0.5_mean,k_center_b0.5_std,dpp_b0.5_mean,dpp_b0.5_std,dst_b0.5_mean,dst_b0.5_std,l2ac_b0.5_mean,l2ac_b0.5_std,ours_b0.5_mean,ours_b0.5_std
1,0.999718,0.010052,0.094147,0.018717,0.094582,0.016981,0.093383,0.021580,0.094343,0.018486,0.094607,0.017931,0.094682,0.016964,0.094608,0.016967,1.140529,0.042712
2,0.997201,0.011830,0.183386,0.016610,0.174220,0.012739,0.158508,0.024432,0.173647,0.012934,0.173836,0.013098,0.174362,0.012733,0.126610,0.014118,1.619547,0.061835
3,0.997177,0.016389,0.264408,0.014442,0.238352,0.009288,0.204832,0.024609,0.240095,0.010696,0.239581,0.010962,0.238452,0.009277,0.137844,0.011709,1.796509,0.083755
4,1.014123,0.013356,0.339247,0.013653,0.293256,0.008586,0.244251,0.025050,0.293788,0.010881,0.293288,0.011641,0.293274,0.008646,0.151294,0.015717,1.825977,0.106320
5,1.007930,0.012745,0.406011,0.012477,0.335844,0.007613,0.272698,0.022621,0.339066,0.007360,0.338425,0.008626,0.335742,0.007729,0.161727,0.021287,1.784869,0.132174
6,1.001204,0.013570,0.465447,0.011636,0.368540,0.007110,0.294028,0.019474,0.369578,0.006093,0.370971,0.008306,0.368314,0.007253,0.166000,0.018848,1.710041,0.159498
7,0.993103,0.011548,0.518159,0.011037,0.393022,0.007162,0.308043,0.019095,0.394973,0.008673,0.395685,0.010414,0.392652,0.007315,0.165336,0.020957,1.616570,0.185550
8,0.998332,0.012972,0.566148,0.010474,0.413667,0.006781,0.321566,0.020054,0.415009,0.011161,0.416315,0.012402,0.413159,0.007072,0.167493,0.026585,1.513066,0.211619
9,1.003692,0.002801,0.609843,0.009247,0.431110,0.005166,0.331406,0.020114,0.432859,0.008274,0.433347,0.011464,0.430429,0.005563,0.162822,0.021363,1.402612,0.238426
10,0.996276,0.011864,0.648439,0.008148,0.443536,0.004287,0.337942,0.020634,0.445173,0.009430,0.445305,0.009550,0.442692,0.004510,0.159878,0.017589,1.287854,0.264907
11,0.999383,0.020774,0.683498,0.007767,0.454031,0.005887,0.343083,0.021293,0.455298,0.011081,0.456651,0.009433,0.453015,0.005924,0.165550,0.023312,1.170687,0.289418
12,1.009371,0.017522,0.716041,0.006809,0.464326,0.004517,0.350408,0.017760,0.462993,0.007291,0.466053,0.008512,0.463205,0.004638,0.175185,0.010211,1.051877,0.309822
13,1.004720,0.013189,0.744870,0.005901,0.471492,0.003793,0.353949,0.018537,0.469689,0.004241,0.472279,0.006107,0.470196,0.004228,0.169306,0.006405,0.933268,0.322507
14,1.004640,0.012430,0.770805,0.005968,0.477112,0.003717,0.357318,0.016291,0.475748,0.003315,0.477169,0.005968,0.475672,0.004203,0.166435,0.009487,0.818148,0.325307
15,0.997976,0.012749,0.793476,0.005237,0.480118,0.002590,0.357472,0.016007,0.478184,0.005134,0.480538,0.007715,0.478477,0.003490,0.161313,0.015380,0.707862,0.318165
16,0.995978,0.010207,0.813674,0.004185,0.481923,0.002024,0.357371,0.015911,0.482316,0.006504,0.485598,0.008627,0.480141,0.001884,0.162138,0.013230,0.605199,0.301078
17,0.997185,0.010480,0.831984,0.003318,0.483568,0.003694,0.357244,0.015994,0.485097,0.009070,0.485449,0.010855,0.481639,0.002844,0.160164,0.015922,0.515463,0.268691
18,0.998559,0.016221,0.848604,0.003652,0.485123,0.004924,0.359260,0.015412,0.487269,0.006762,0.487567,0.008131,0.483138,0.004422,0.169780,0.014111,0.440749,0.222744
19,1.003040,0.007232,0.863979,0.003015,0.486855,0.004871,0.360256,0.014754,0.487526,0.008672,0.488545,0.008325,0.484688,0.003984,0.163863,0.011580,0.378319,0.174540
20,0.993426,0.015162,0.876885,0.003256,0.486110,0.004726,0.359574,0.016554,0.487758,0.005063,0.488404,0.005931,0.483814,0.005062,0.161454,0.009412,0.327786,0.128529
21,1.001841,0.016987,0.889330,0.003802,0.487090,0.006605,0.360511,0.016400,0.493760,0.009689,0.492345,0.008646,0.484532,0.006882,0.168751,0.013092,0.288744,0.087014
22,1.011266,0.013236,0.901487,0.004232,0.489462,0.007753,0.362324,0.018285,0.497639,0.010425,0.496678,0.008191,0.486598,0.008357,0.168823,0.015020,0.258905,0.059322
23,0.997840,0.008118,0.911086,0.003449,0.488407,0.006955,0.360421,0.016729,0.496203,0.009685,0.495191,0.006093,0.485224,0.007259,0.160079,0.011316,0.239086,0.049372
24,1.001577,0.024820,0.920101,0.003910,0.488205,0.006659,0.360317,0.017581,0.497315,0.011890,0.495439,0.009182,0.484671,0.007577,0.160605,0.030140,0.229430,0.044847
25,0.997022,0.005576,0.927764,0.003405,0.486951,0.005241,0.359309,0.016347,0.494684,0.011207,0.493584,0.008547,0.483006,0.006232,0.162173,0.022805,0.221874,0.042299
26,1.000210,0.013004,0.934975,0.002124,0.486544,0.005558,0.359148,0.014625,0.493527,0.010513,0.492571,0.008260,0.482065,0.004822,0.163508,0.019207,0.210936,0.043687
27,1.003759,0.014415,0.941815,0.002061,0.486624,0.005721,0.359802,0.013768,0.495911,0.006185,0.494689,0.006985,0.481561,0.004578,0.171187,0.008183,0.198175,0.049348
28,0.991788,0.013769,0.946773,0.002121,0.484163,0.005096,0.357794,0.014692,0.495672,0.004572,0.495510,0.005970,0.478284,0.004474,0.168188,0.019332,0.189345,0.057237
29,1.001977,0.015576,0.952256,0.001966,0.484096,0.004112,0.358438,0.012492,0.499438,0.006755,0.497549,0.006682,0.477280,0.003831,0.168122,0.022108,0.185918,0.060419
30,1.005212,0.017009,0.957511,0.003019,0.484612,0.005615,0.359187,0.013249,0.504875,0.005157,0.500915,0.005204,0.476712,0.006771,0.177465,0.024150,0.181318,0.056532
31,1.003515,0.012479,0.962088,0.003023,0.484458,0.005268,0.358492,0.014803,0.506806,0.007011,0.503142,0.008571,0.474974,0.006523,0.175845,0.021706,0.169224,0.054903
32,1.000315,0.010761,0.965879,0.003251,0.483703,0.005711,0.358813,0.013327,0.503281,0.007636,0.500826,0.007748,0.472803,0.006876,0.164802,0.027897,0.152630,0.055891
33,0.999630,0.011137,0.969215,0.002954,0.482996,0.005081,0.358189,0.014464,0.502013,0.009290,0.501140,0.008882,0.470329,0.007229,0.169642,0.022005,0.139541,0.056251
34,0.994924,0.009710,0.971755,0.002935,0.481363,0.005248,0.356862,0.012604,0.501046,0.010759,0.501612,0.008695,0.466688,0.008173,0.167664,0.017467,0.134007,0.057406
35,0.992924,0.008149,0.973838,0.002577,0.479755,0.003695,0.355277,0.011410,0.497968,0.010525,0.498350,0.009016,0.462976,0.007634,0.160494,0.019563,0.135354,0.055573
36,1.001704,0.009617,0.976577,0.001957,0.480298,0.002931,0.355986,0.009859,0.498242,0.011087,0.500012,0.008250,0.461390,0.006207,0.167706,0.017575,0.136604,0.050875
37,0.997774,0.011728,0.978650,0.002673,0.479910,0.003778,0.356402,0.008743,0.496549,0.010661,0.498231,0.007221,0.458674,0.005092,0.164334,0.015221,0.132943,0.045964
38,1.002734,0.008105,0.981010,0.002331,0.480700,0.003491,0.356488,0.008818,0.497929,0.009338,0.497809,0.007706,0.456873,0.005403,0.167138,0.015899,0.123422,0.042002
39,1.000288,0.007794,0.982903,0.002266,0.480865,0.003731,0.356082,0.011062,0.500045,0.007426,0.499317,0.006083,0.454360,0.006821,0.162088,0.021684,0.109750,0.039584
40,0.994882,0.011761,0.984055,0.002247,0.480130,0.003242,0.356270,0.008539,0.497055,0.005620,0.497197,0.005374,0.450896,0.006737,0.160835,0.010363,0.095427,0.037741
41,0.999720,0.015908,0.985573,0.003027,0.480410,0.004338,0.355900,0.007946,0.500107,0.009008,0.499498,0.006761,0.448467,0.007490,0.165249,0.009072,0.084519,0.035068
42,0.999963,0.012744,0.986989,0.002724,0.480549,0.003545,0.354342,0.007528,0.500209,0.007716,0.500567,0.007100,0.444856,0.008101,0.160850,0.011973,0.079495,0.030014
43,0.995611,0.012748,0.987815,0.002904,0.480054,0.003534,0.353747,0.006598,0.500702,0.007324,0.500531,0.006910,0.441738,0.006416,0.167191,0.025881,0.076954,0.026450
44,0.998894,0.013512,0.988875,0.002374,0.480431,0.003477,0.354728,0.009109,0.498502,0.006577,0.498999,0.007808,0.439480,0.006249,0.163304,0.016856,0.073996,0.025572
45,0.995685,0.012101,0.989529,0.002244,0.480063,0.004339,0.353557,0.010627,0.500984,0.004661,0.500586,0.006624,0.436133,0.007834,0.164282,0.010761,0.071617,0.022042
46,1.004034,0.011406,0.990945,0.002040,0.481444,0.002794,0.353433,0.007877,0.501934,0.008968,0.501990,0.007904,0.434653,0.008902,0.172480,0.017589,0.069747,0.018616
47,1.002231,0.013154,0.992037,0.002314,0.482398,0.003691,0.355033,0.009384,0.501436,0.008133,0.499492,0.006443,0.432847,0.008602,0.173324,0.016021,0.069154,0.016473
48,0.997899,0.014378,0.992581,0.001715,0.482183,0.002090,0.353731,0.005593,0.503943,0.005345,0.501872,0.005841,0.429338,0.010066,0.169658,0.009742,0.069390,0.015459
49,0.991812,0.009848,0.992471,0.002050,0.480799,0.002915,0.353188,0.007340,0.498428,0.008138,0.498083,0.007405,0.424418,0.011025,0.158496,0.011359,0.068647,0.017448
50,1.005944,0.013293,0.993802,0.002610,0.482648,0.003959,0.354744,0.006132,0.500550,0.007007,0.500776,0.007697,0.423400,0.010125,0.171305,0.012908,0.066412,0.020037
51,1.005594,0.009344,0.994955,0.002504,0.483890,0.004553,0.356011,0.008367,0.500238,0.008702,0.501741,0.005930,0.420667,0.012622,0.164271,0.015363,0.062967,0.019889
52,1.000062,0.017912,0.995431,0.002865,0.483833,0.005138,0.355973,0.009352,0.497568,0.009538,0.499677,0.008290,0.417167,0.016666,0.170813,0.021102,0.058282,0.017462
53,0.991406,0.011600,0.994975,0.002648,0.481995,0.004409,0.353941,0.010071,0.495217,0.010484,0.498417,0.008161,0.411588,0.017204,0.166261,0.020357,0.052720,0.015031
54,1.005792,0.008414,0.996020,0.002551,0.483277,0.003466,0.354938,0.009147,0.499227,0.009924,0.502920,0.004771,0.409728,0.015041,0.170970,0.013654,0.047316,0.014524
55,1.000859,0.011953,0.996450,0.002180,0.483319,0.002203,0.355471,0.008168,0.500054,0.008755,0.502602,0.004473,0.405464,0.013713,0.161364,0.019775,0.044248,0.014452
56,1.006372,0.013104,0.997396,0.001933,0.484123,0.002646,0.355363,0.008764,0.502324,0.007447,0.504265,0.004525,0.401345,0.015713,0.164437,0.022803,0.044225,0.013840
57,0.991203,0.010896,0.996747,0.002054,0.481958,0.003009,0.353211,0.009542,0.503094,0.008607,0.502123,0.005394,0.395783,0.016616,0.160108,0.018295,0.045740,0.013843
58,1.004603,0.010902,0.997488,0.002032,0.482852,0.002938,0.355241,0.010000,0.505193,0.008401,0.502516,0.004537,0.393022,0.017863,0.161619,0.024174,0.047517,0.014374
59,0.998095,0.014809,0.997527,0.002204,0.482180,0.003088,0.354651,0.009048,0.507572,0.010959,0.502676,0.005394,0.388747,0.018092,0.161520,0.023002,0.048384,0.013578
60,1.001012,0.009919,0.997845,0.002336,0.481974,0.003999,0.353443,0.009217,0.507358,0.010494,0.502709,0.006465,0.384190,0.016527,0.160443,0.015136,0.047941,0.011709
61,1.003315,0.009766,0.998356,0.002247,0.482319,0.002720,0.353026,0.007535,0.507465,0.012592,0.503526,0.008816,0.381738,0.015883,0.165469,0.014680,0.045747,0.011817
62,0.994589,0.012266,0.997931,0.002823,0.481015,0.003802,0.352293,0.007641,0.504440,0.013598,0.500335,0.008408,0.378792,0.015807,0.173202,0.013656,0.042537,0.014056
63,0.999093,0.011266,0.998009,0.003219,0.480616,0.004029,0.351998,0.008624,0.505939,0.013778,0.500331,0.008760,0.375781,0.015362,0.167331,0.013513,0.039738,0.015363
64,1.001243,0.008113,0.998275,0.003396,0.480576,0.004194,0.352226,0.008968,0.503254,0.011336,0.499747,0.007401,0.372046,0.014826,0.160596,0.008641,0.038223,0.014366
65,1.006964,0.010939,0.999112,0.003818,0.481732,0.005079,0.353204,0.009737,0.504776,0.011527,0.503684,0.007481,0.371151,0.013741,0.165345,0.009294,0.037800,0.011902
66,0.997700,0.008360,0.998952,0.003315,0.480562,0.004133,0.352126,0.009668,0.503127,0.007252,0.501565,0.006751,0.367119,0.013920,0.161153,0.012359,0.037724,0.009413
67,1.005510,0.006718,0.999559,0.002904,0.481464,0.002956,0.353505,0.006997,0.503488,0.008493,0.502438,0.007365,0.367435,0.013775,0.164474,0.008055,0.037848,0.008189
68,0.998879,0.010692,0.999463,0.003346,0.480389,0.003573,0.352216,0.006972,0.502587,0.007777,0.502457,0.006958,0.362720,0.016127,0.156562,0.017881,0.037917,0.008510
69,0.997635,0.011536,0.999229,0.002825,0.479489,0.003777,0.351017,0.006335,0.503854,0.006114,0.501701,0.005287,0.361732,0.013966,0.164967,0.011591,0.037757,0.009296
70,1.008021,0.014568,1.000066,0.002562,0.480858,0.004892,0.353301,0.008218,0.508482,0.006530,0.502398,0.006137,0.361706,0.013124,0.161294,0.015937,0.037367,0.009846
71,0.997167,0.016411,0.999730,0.002730,0.479666,0.006184,0.351781,0.009046,0.505203,0.005535,0.499032,0.006849,0.357266,0.013915,0.155202,0.016575,0.036998,0.009860
72,0.993035,0.011813,0.999033,0.002461,0.478322,0.005324,0.351525,0.008314,0.501239,0.007049,0.497349,0.007271,0.356975,0.011986,0.164660,0.014590,0.036990,0.009424
73,1.004753,0.008510,0.999571,0.001884,0.479368,0.004575,0.353116,0.007827,0.501990,0.006372,0.499225,0.008966,0.356567,0.011243,0.166062,0.015153,0.036864,0.008833
74,0.998105,0.010763,0.999398,0.002039,0.478856,0.005082,0.353436,0.009105,0.502270,0.009781,0.500909,0.009455,0.356627,0.011044,0.171812,0.017636,0.036507,0.008363
75,0.995629,0.011659,0.998977,0.002524,0.477614,0.005442,0.351899,0.009121,0.501687,0.008651,0.502931,0.007527,0.353440,0.011700,0.167779,0.017492,0.035661,0.007922
76,1.000926,0.016904,0.999140,0.003441,0.477751,0.007220,0.351093,0.012013,0.503819,0.010723,0.502793,0.008640,0.352330,0.013217,0.172493,0.016803,0.034464,0.007451
77,0.997274,0.018053,0.998924,0.003023,0.476949,0.005184,0.349608,0.008906,0.503351,0.009064,0.503086,0.007763,0.349563,0.013285,0.167231,0.010108,0.033180,0.007519
78,1.000088,0.016507,0.999000,0.003333,0.476778,0.005865,0.348575,0.010147,0.502844,0.005828,0.503117,0.004960,0.347126,0.018463,0.167566,0.016972,0.031933,0.008263
79,0.995076,0.011776,0.998581,0.002505,0.476189,0.004570,0.348490,0.008901,0.499129,0.006125,0.499427,0.006340,0.345997,0.019029,0.166630,0.017881,0.030796,0.009315
80,1.001931,0.008003,0.998876,0.002027,0.476943,0.003892,0.349934,0.007500,0.501023,0.005668,0.501078,0.006363,0.347636,0.017299,0.173836,0.011644,0.029910,0.009906
81,1.001882,0.011392,0.999150,0.002150,0.477108,0.004803,0.350689,0.006510,0.499805,0.006661,0.500153,0.006646,0.343549,0.021219,0.164080,0.013999,0.029274,0.009514
82,1.008482,0.013138,1.000048,0.002981,0.478783,0.005873,0.352946,0.007543,0.501768,0.007869,0.502054,0.008650,0.346057,0.019944,0.178767,0.011245,0.029033,0.008648
83,0.987315,0.013820,0.998741,0.003182,0.475867,0.006642,0.350349,0.008286,0.500811,0.011350,0.501194,0.008624,0.343561,0.020026,0.171176,0.015813,0.029082,0.007671
84,0.999319,0.016265,0.998777,0.003331,0.475659,0.007091,0.349394,0.006165,0.499379,0.007606,0.499532,0.008227,0.341080,0.019851,0.163262,0.016096,0.029625,0.007015
85,1.006060,0.011549,0.999474,0.003583,0.476737,0.006580,0.350731,0.006191,0.501047,0.008144,0.500813,0.006040,0.340945,0.020999,0.167437,0.016813,0.030738,0.006743
86,0.997472,0.016749,0.999248,0.002460,0.476209,0.005427,0.351242,0.006541,0.499056,0.009075,0.499305,0.004825,0.340845,0.017692,0.168512,0.016251,0.032027,0.006771
87,1.001113,0.011089,0.999398,0.001416,0.476503,0.003273,0.352510,0.005988,0.497091,0.010024,0.497765,0.004733,0.339921,0.017728,0.164869,0.017919,0.033323,0.006947
88,1.007724,0.017235,1.000193,0.001883,0.477848,0.004575,0.353907,0.006684,0.498526,0.011717,0.500373,0.006864,0.340343,0.016114,0.170733,0.014254,0.034269,0.006979
89,1.001467,0.011544,1.000289,0.002284,0.477324,0.005949,0.354001,0.007543,0.500563,0.010260,0.503266,0.008250,0.336948,0.020601,0.169397,0.019410,0.034318,0.006920
90,0.999393,0.015041,1.000156,0.001893,0.476534,0.004094,0.353719,0.005499,0.497065,0.008607,0.502186,0.008242,0.333349,0.021953,0.173500,0.024590,0.033671,0.006916
91,1.006791,0.014407,1.000791,0.001848,0.477298,0.004578,0.353808,0.003169,0.498139,0.007274,0.502417,0.007321,0.334507,0.025163,0.178941,0.018671,0.032455,0.006892
92,1.002931,0.014505,1.000960,0.001301,0.477037,0.002680,0.354359,0.005059,0.497810,0.007128,0.503399,0.008090,0.330624,0.025983,0.168138,0.014292,0.031110,0.006766
93,1.006471,0.012064,1.001487,0.001727,0.477888,0.002343,0.356874,0.006464,0.498236,0.010132,0.503973,0.009132,0.332798,0.024094,0.173806,0.017909,0.030123,0.006530
94,0.992471,0.013790,1.000533,0.002637,0.475208,0.002216,0.354374,0.007740,0.495155,0.009471,0.502673,0.011234,0.327998,0.026301,0.168328,0.014149,0.029605,0.006172
95,1.000774,0.008936,1.000516,0.002997,0.474655,0.002887,0.353632,0.007843,0.497763,0.013161,0.502762,0.012174,0.324473,0.027766,0.166788,0.016759,0.029531,0.006045
96,0.998786,0.013499,1.000307,0.002583,0.474179,0.003412,0.353860,0.006457,0.498408,0.011001,0.501899,0.010510,0.321792,0.030397,0.171664,0.013200,0.029910,0.006173
97,0.999774,0.012145,1.000196,0.002991,0.473703,0.004583,0.354686,0.006853,0.498900,0.008834,0.500433,0.007671,0.315634,0.035332,0.172469,0.010643,0.030405,0.006732
98,1.000674,0.015903,1.000209,0.002809,0.473293,0.004989,0.353876,0.005675,0.497100,0.005627,0.501076,0.008127,0.309751,0.035981,0.169201,0.014161,0.031073,0.007416
99,0.997723,0.008895,0.999910,0.002748,0.472184,0.004120,0.352861,0.006972,0.495420,0.006260,0.498341,0.008136,0.300074,0.038019,0.156993,0.016728,0.031681,0.007863
